week_start,selected,actual_problems,unnecessary,missed,cost
2026-02-02,15,0,0,0,0
2026-02-09,15,0,0,0,0
2026-02-16,15,0,0,0,0
2026-02-23,15,0,0,0,0
2026-03-02,15,0,0,0,0
2026-03-09,15,0,0,0,0
2026-03-16,15,0,0,0,0
2026-03-23,15,0,0,0,0
